,budget,budget_upper_bound,max_neighborhood_size,n_players
0,1574,False,2,24
1,1046,False,2,23
2,487,False,2,14
3,2062,False,2,18
4,1086,False,2,23
5,639,False,2,18
6,112,False,2,8
7,719,False,2,17
8,791,False,2,13
9,751,False,2,18
10,1061,False,2,24
11,2775,False,2,18
12,1934,False,2,24
13,783,False,2,18
14,710,False,2,16
15,1136,False,2,20
16,2454,False,2,23
17,1206,False,2,24
18,847,False,2,23
19,1903,False,2,21
20,1502,False,2,24
21,1650,False,2,23
22,1415,False,2,20
23,839,False,2,23
24,974,False,2,24
25,1373,False,2,24
26,1455,False,2,24
27,1141,False,2,24
28,470,False,2,15
29,1053,False,2,24
30,2070,False,2,25
31,1655,False,2,17
32,927,False,2,20
33,2605,False,2,23
34,1718,False,2,21
35,1686,False,2,25
36,983,False,2,20
37,1142,False,2,19
38,2414,False,2,23
39,8224,False,2,20
40,1632,False,2,20
41,2286,False,2,25
42,815,False,2,17
43,1302,False,2,18
44,1391,False,2,23
45,1813,False,2,23
46,1431,False,2,24
47,1279,False,2,14
48,1727,False,2,25
49,1135,False,2,20
50,1182,False,2,20
51,704,False,2,16
52,1715,False,2,15
53,407,False,2,9
54,1287,False,2,22
55,1142,False,2,24
56,879,False,2,11
57,1414,False,2,21
58,1062,False,2,23
59,799,False,2,23
60,1046,False,2,16
61,2018,False,2,24
62,2752,False,2,25
63,288,False,2,14
64,1663,False,2,21
65,1511,False,2,24
66,816,False,2,16
67,1392,False,2,22
68,1143,False,2,24
69,2822,False,2,24
70,1280,False,2,25
71,1501,False,2,23
72,2399,False,2,21
73,2149,False,2,23
74,2176,False,2,13
75,1390,False,2,24
76,1054,False,2,24
77,1303,False,2,24
78,1006,False,2,18
79,1406,False,2,25
80,2239,False,2,22
81,1406,False,2,24
82,1278,False,2,18
83,1766,False,2,24
84,1438,False,2,23
85,999,False,2,24
86,439,False,2,13
87,1383,False,2,23
88,112,False,2,9
89,902,False,2,17
90,1421,False,2,25
91,2023,False,2,22
92,1997,False,2,24
93,559,False,2,13
94,774,False,2,22
95,2175,False,2,14
96,1510,False,2,23
97,1343,False,2,13
98,1471,False,2,23
99,1479,False,2,24
100,1031,False,2,19
101,1166,False,2,19
102,2009,False,2,23
103,2831,False,2,22
104,799,False,2,19
105,1168,False,2,19
106,2054,False,2,24
107,240,False,2,11
108,1488,False,2,22
109,1251,False,2,24
110,2335,False,2,20
111,1207,False,2,20
112,960,False,2,16
113,1079,False,2,20
114,1022,False,2,21
115,1869,False,2,25
116,1710,False,2,25
117,1765,False,2,23
118,583,False,2,20
119,975,False,2,19
120,1190,False,2,25
121,1095,False,2,18
122,1168,False,2,21
123,815,False,2,23
124,176,False,2,10
125,4461,False,2,25
126,519,False,2,16
127,592,False,2,17
128,576,False,2,18
129,1014,False,2,23
130,1214,False,2,23
131,1485,False,2,23
132,1310,False,2,22
133,999,False,2,20
134,1031,False,2,21
135,1582,False,2,19
136,823,False,2,23
137,1719,False,2,22
138,1614,False,2,21
139,926,False,2,22
140,1598,False,2,16
141,3750,False,2,25
142,1782,False,2,24
143,1278,False,2,21
144,2102,False,2,23
145,912,False,2,21
146,3678,False,2,22
147,1511,False,2,13
148,2470,False,2,25
149,1023,False,2,23
150,1965,False,2,25
151,2246,False,2,23
152,1312,False,2,20
153,990,False,2,20
154,1230,False,2,13
155,1015,False,2,20
156,1591,False,2,23
157,1391,False,2,17
158,1149,False,2,22
159,1014,False,2,25
160,1054,False,2,24
161,1234,False,2,25
162,806,False,2,20
163,1062,False,2,23
164,1222,False,2,22
165,544,False,2,15
166,1071,False,2,20
167,64,False,2,6
168,1413,False,2,25
169,687,False,2,11
170,1118,False,2,25
171,2687,False,2,24
172,1086,False,2,22
173,720,False,2,17
174,1631,False,2,21
175,832,False,2,15
176,4965,False,2,22
177,735,False,2,23
178,215,False,2,9
179,815,False,2,20
180,1614,False,2,17
181,1039,False,2,22
182,1815,False,2,22
183,1716,False,2,25
184,1078,False,2,18
185,1951,False,2,24
186,1616,False,2,21
187,1015,False,2,14
188,1454,False,2,23
189,607,False,2,18
190,1502,False,2,21
191,3174,False,2,25
192,1856,False,2,21
193,1287,False,2,24
194,1735,False,2,23
195,1191,False,2,23
196,567,False,2,12
197,1855,False,2,23
198,704,False,2,11
199,1229,False,2,23
200,1687,False,2,23
201,813,False,2,25
202,1039,False,2,19
203,639,False,2,17
204,1175,False,2,25
205,3238,False,2,25
206,2551,False,2,25
207,1870,False,2,20
208,1263,False,2,23
209,719,False,2,18
210,1071,False,2,20
211,559,False,2,13
212,2918,False,2,22
213,1975,False,2,24
214,2551,False,2,18
215,1047,False,2,23
216,3296,False,2,20
217,1814,False,2,24
218,2103,False,2,22
219,1223,False,2,25
220,1510,False,2,17
221,815,False,2,21
222,1439,False,2,19
223,352,False,2,14
224,1510,False,2,25
225,1111,False,2,19
226,2197,False,2,25
227,1446,False,2,25
